Gene Name	Mean of Geneid Strains	Standard Deviation of Geneid Strains	Group
try-9	13.3333	11.1455	3
Y6E2A.4	13.3333	11.0252	3
T26H10.2	13.3333	4.4969	3
C09B8.8	13.3333	10.6249	3
ver-4	13.3333	10.274	3
hst-3.1	13.3333	15.456	3
F13B9.2	13.3333	16.7398	3
W02D7.8	13.3333	7.7172	3
K12H6.9	13.3333	15.3695	3
ncs-3	13.3333	12.4722	3
spp-28	13.3333	11.8134	3
cutl-21	13.3333	15.3695	3
try-5	13.3333	14.197	3
pqn-67	13.3333	11.9536	3
cya-2	13.3333	7.5425	3
col-64	13.3333	3.2998	3
K07D4.6	13.3333	10.3387	3
F49B2.6	13.3333	2.6247	3
cutl-18	13.3333	13.0213	3
Y61A9LA.12	13.3333	10.6249	3
ZK622.4	13.6667	5.7927	3
F36A4.1	13.6667	4.6428	3
unc-42	13.6667	18.625	3
C50B8.4	13.6667	12.6842	3
Y57G11C.38	13.6667	3.8586	3
ttr-40	13.6667	10.6562	3
ncx-4	13.6667	9.5685	3
oac-6	13.6667	11.8977	3
best-8	13.6667	7.9303	3
M01A12.4	13.6667	6.3421	3
lite-1	13.6667	10.873	3
C14F11.7	13.6667	10.2089	3
B0564.6	13.6667	11.5566	3
col-84	13.6667	3.2998	3
F25D1.5	13.6667	12.3918	3
nhr-137	13.6667	16.5798	3
dmd-5	13.6667	17.932	3
aqp-9	13.6667	3.0912	3
K10C2.12	13.6667	8.6538	3
M02F4.1	13.6667	13.4743	3
F40F9.10	13.6667	17.932	3
M03E7.2	13.6667	12.9701	3
F11E6.6	13.6667	10.5304	3
grl-1	13.6667	13.6951	3
idpb-4	13.6667	15.9234	3
F46F5.1	13.6667	7.5425	3
flp-1	13.6667	15.2825	3
F22F7.3	13.6667	17.2498	3
F59B10.3	13.6667	12.2837	3
F49B2.3	13.6667	9.3927	3
nhr-16	13.6667	8.7305	3
F49H6.5	13.6667	13.1233	3
C35E7.2	13.6667	13.4743	3
mltn-8	13.6667	11.0252	3
F37C12.21	13.6667	10.1434	3
sdz-19	13.6667	8.7305	3
twk-37	13.6667	5.2493	3
grl-26	13.6667	10.9646	3
ssr-2	13.6667	10.8423	3
C14A11.6	13.6667	6.8475	3
pals-20	14.0	8.165	3
F39F10.2	14.0	9.8995	3
fbxa-5	14.0	9.4163	3
lgc-47	14.0	19.799	3
clec-238	14.0	7.3485	3
nhr-179	14.0	10.0333	3
C14C6.2	14.0	17.0489	3
ZK328.6	14.0	15.1217	3
C23G10.5	14.0	12.1929	3
spp-31	14.0	7.4833	3
nhr-94	14.0	11.431	3
ser-6	14.0	9.0921	3
spp-25	14.0	7.2572	3
T16G12.10	14.0	4.899	3
K12G11.6	14.0	9.8995	3
clec-97	14.0	9.8995	3
F07F6.2	14.0	5.8878	3
F40G12.4	14.0	13.3666	3
nhr-139	14.0	14.5144	3
exc-14	14.0	15.1217	3
F46F5.5	14.0	4.3205	3
W04E12.9	14.0	10.4243	3
ceh-45	14.0	19.799	3
T04A6.3	14.0	10.198	3
Y44E3A.1	14.0	10.0333	3
clec-75	14.0	17.72	3
C35B1.7	14.0	8.8318	3
scl-3	14.0	9.4163	3
R02E12.4	14.0	11.431	3
col-172	14.0	15.1217	3
K09C6.2	14.0	12.3558	3
bus-18	14.0	9.0921	3
idpp-2	14.0	5.099	3
clec-17	14.0	14.2361	3
aff-1	14.0	10.4243	3
B0416.3	14.0	9.4163	3
kcnl-2	14.0	9.2736	3
H12D21.9	14.0	16.3911	3
xbx-5	14.0	4.5461	3
lgc-10	14.0	3.559	3
Y45G12C.10	14.3333	9.0308	3
C27A2.12	14.3333	12.5521	3
F46C3.6	14.3333	14.8174	3
hsp-16.11	14.3333	10.3387	3
F37D6.4	14.3333	11.0252	3
kri-1	14.3333	3.2998	3
clec-3	14.3333	12.6579	3
C18G1.1	14.3333	18.1904	3
deg-3	14.3333	12.2293	3
Y61A9LA.7	14.3333	10.3387	3
fbxb-69	14.3333	10.3387	3
srh-87	14.3333	16.7796	3
Y37F4.7	14.3333	4.4969	3
B0244.10	14.3333	5.7349	3
Y110A2AL.7	14.3333	11.8415	3
C44B12.3	14.3333	1.2472	3
fbxb-25	14.3333	9.5336	3
npr-12	14.3333	11.0252	3
H25K10.1	14.3333	9.1773	3
lurp-1	14.3333	6.9442	3
ZK742.6	14.3333	7.7172	3
F53A9.9	14.3333	14.0554	3
F22F7.2	14.3333	9.6724	3
F40A3.4	14.3333	12.4989	3
K08D8.1	14.3333	5.7927	3
flp-26	14.3333	15.3261	3
arrd-15	14.3333	11.0855	3
T02H6.9	14.3333	9.877	3
mam-3	14.3333	13.8163	3
nlp-59	14.3333	8.9938	3
F45E1.5	14.3333	10.3387	3
C08E8.4	14.3333	14.9741	3
T24C4.4	14.3333	16.2138	3
appg-1	14.3333	20.2704	3
Y113G7A.14	14.3333	6.8475	3
pals-26	14.3333	15.5849	3
nlp-16	14.3333	17.5182	3
F56C3.9	14.6667	6.9442	3
sqt-2	14.6667	5.7927	3
cest-1.1	14.6667	10.403	3
sro-1	14.6667	12.9701	3
kcnl-4	14.6667	12.4989	3
wrt-3	14.6667	16.0485	3
F47B8.10	14.6667	20.0389	3
Y45F10B.8	14.6667	10.6249	3
gur-4	14.6667	14.8399	3
clec-47	14.6667	15.107	3
ugt-9	14.6667	19.3448	3
F35D2.2	14.6667	17.9877	3
K08D9.4	14.6667	8.9938	3
ugt-18	14.6667	3.6818	3
R04B5.1	14.6667	3.7712	3
F11E6.4	14.6667	12.2565	3
fbxa-38	14.6667	16.0485	3
T27E4.1	14.6667	11.8977	3
lhfp-4	14.6667	11.0252	3
rab-28	14.6667	15.7973	3
T02H6.5	14.6667	8.9567	3
C32B5.6	14.6667	5.7927	3
Y46B2A.3	14.6667	9.4634	3
F33H2.8	14.6667	8.5765	3
M01D7.9	14.6667	13.1993	3
C05B5.11	14.6667	9.8432	3
C15F1.2	14.6667	11.4698	3
spcs-2	14.6667	7.3182	3
F08F1.9	14.6667	11.4698	3
T13B5.9	14.6667	12.2565	3
F22E5.13	14.6667	10.274	3
flp-32	14.6667	15.107	3
fbxa-85	14.6667	12.3648	3
hsp-70	14.6667	10.873	3
col-63	14.6667	4.714	3
F55C9.3	14.6667	13.1993	3
nas-4	14.6667	5.5578	3
F27D9.7	14.6667	12.3648	3
B0294.1	14.6667	10.6562	3
gcy-9	14.6667	10.403	3
Y47G6A.32	14.6667	9.1043	3
F48E8.8	14.6667	11.4698	3
hda-11	15.0	17.72	3
C48B4.3	15.0	19.1311	3
glb-10	15.0	18.4572	3
spex-2	15.0	4.899	3
R13A1.10	15.0	11.225	3
C25E10.5	15.0	11.0454	3
F53F8.7	15.0	3.7417	3
wdr-54	15.0	15.2971	3
Y57G11C.1131	15.0	9.4163	3
clec-86	15.0	2.9439	3
Y74C10AR.2	15.0	12.1929	3
cdr-1	15.0	8.6023	3
C06B3.16	15.0	6.9761	3
bgnt-1.6	15.0	4.5461	3
spe-29	15.0	9.4163	3
hot-9	15.0	19.1311	3
wrt-6	15.0	13.5892	3
R08F11.4	15.0	11.431	3
cyp-35B2	15.0	16.3095	3
Y48G9A.7	15.0	6.1644	3
Y38A10A.2	15.0	21.2132	3
gcy-21	15.0	14.1421	3
R03H10.7	15.0	13.6382	3
srt-19	15.0	5.8878	3
F29C4.4	15.0	11.0454	3
M199.134	15.0	3.559	3
W04H10.6	15.0	15.748	3
Y60A3A.25	15.0	9.4163	3
F19C7.3	15.0	6.1644	3
hizr-1	15.0	13.1403	3
F58B6.1	15.0	14.5144	3
ZC449.1	15.0	20.5102	3
ZK836.3	15.0	17.1464	3
F58F9.4	15.0	4.3205	3
prx-2	15.3333	15.5849	3
ceh-30	15.3333	19.6016	3
F13B6.1	15.3333	11.0252	3
Y54G2A.7	15.3333	13.8163	3
str-119	15.3333	8.9567	3
chil-8	15.3333	13.5728	3
F46F5.14	15.3333	4.4969	3
F43C9.1	15.3333	8.7305	3
Y53F4B.10	15.3333	9.6724	3
flp-18	15.3333	13.2246	3
R05G9R.1	15.3333	20.9815	3
hrg-9	15.3333	12.4989	3
his-69	15.3333	16.9771	3
osm-8	15.3333	18.9268	3
W08F4.5	15.3333	7.5425	3
Y45F10D.16	15.3333	6.9442	3
F33D11.1	15.3333	2.8674	3
B0334.13	15.3333	19.6016	3
B0024.3	15.3333	7.4087	3
npr-34	15.3333	0.4714	3
ssu-2	15.3333	16.0485	3
H39E23.3	15.3333	13.0213	3
T23B7.3	15.3333	8.4984	3
T02G5.14	15.3333	11.8977	3
F58B4.7	15.3333	10.403	3
dhs-4	15.3333	11.9536	3
dhs-31	15.3333	12.4989	3
grsp-4	15.3333	12.6579	3
C17F4.2	15.3333	12.5521	3
nas-27	15.3333	11.1156	3
gopc-1	15.3333	7.7172	3
K01A6.6	15.3333	3.2998	3
Y43F8B.14	15.3333	11.3235	3
nhr-270	15.3333	20.2868	3
gpx-6	15.3333	10.0775	3
grd-11	15.3333	4.0277	3
spi-1	15.3333	12.7628	3
dmsr-6	15.3333	11.1455	3
F56D6.23	15.3333	8.34	3
acr-11	15.3333	4.1899	3
iglr-1	15.3333	18.2635	3
numr-2	15.3333	11.8134	3
C01G6.9	15.6667	17.932	3
fbxb-112	15.6667	12.1198	3
klu-1	15.6667	10.873	3
C04E7.5	15.6667	4.714	3
oac-57	15.6667	11.0252	3
kin-9	15.6667	4.1899	3
F28C6.10	15.6667	5.7927	3
M03F8.1	15.6667	13.6707	3
M7.12	15.6667	16.8193	3
gad-2	15.6667	8.1786	3
nhr-170	15.6667	10.2089	3
nhr-152	15.6667	20.0721	3
gar-2	15.6667	13.0213	3
F28A12.3	15.6667	20.7579	3
hsp-16.1	15.6667	11.5566	3
Y53G8AL.4	15.6667	5.7349	3
F16C3.1	15.6667	9.5336	3
M01A8.1	15.6667	10.3387	3
B0280.2	15.6667	11.4407	3
Y45F10D.14	15.6667	5.7927	3
wrt-4	15.6667	20.0721	3
sptf-2	15.6667	9.7411	3
T01B7.9	15.6667	16.0485	3
C11G10.1	15.6667	18.0801	3
nphp-1	16.0	19.2007	3
clec-157	16.0	14.9666	3
txt-18	16.0	8.8318	3
Y97E10AR.8	16.0	2.8284	3
F46F2.5	16.0	17.9072	3
C54C8.4	16.0	16.0831	3
F31E9.3	16.0	10.6771	3
fbxa-55	16.0	8.165	3
W04H10.5	16.0	18.5472	3
T20D4.19	16.0	17.1464	3
F08H9.3	16.0	11.7757	3
del-3	16.0	11.0454	3
npr-22	16.0	7.1181	3
chil-23	16.0	5.8878	3
D1022.3	16.0	8.5245	3
cyp-14A2	16.0	11.431	3
nlp-58	16.0	20.5426	3
C10A4.4	16.0	7.7889	3
T27D12.6	16.0	4.2426	3
Y47D3B.12	16.0	9.4163	3
tbx-30	16.0	11.0454	3
C04C11.1	16.0	12.8323	3
B0034.1	16.0	16.3911	3
tsp-17	16.0	17.72	3
fbxa-94	16.0	4.9666	3
fbxa-69	16.0	14.4453	3
F43C11.6	16.0	8.9815	3
F08H9.4	16.0	8.9815	3
F31E3.2	16.0	14.2361	3
Y116A8C.29	16.0	11.3137	3
F53F1.6	16.0	12.6754	3
F21H7.3	16.0	21.2289	3
T05C3.2	16.0	12.3288	3
H05C05.4	16.0	9.0921	3
galt-1	16.0	14.4453	3
C18D4.12	16.0	13.6382	3
arl-3	16.3333	18.3727	3
F35C8.8	16.3333	5.4365	3
F19C7.8	16.3333	12.037	3
F53C3.3	16.3333	12.2293	3
R07E3.7	16.3333	17.4611	3
Y38H6A.5	16.3333	11.0855	3
bus-17	16.3333	17.442	3
T22A3.12	16.3333	7.3636	3
F56F4.4	16.3333	13.0724	3
C06C3.10	16.3333	14.6363	3
ZK418.6	16.3333	6.9442	3
T28F2.1	16.3333	6.8475	3
Y73B6BL.44	16.3333	20.3361	3
ZK262.19	16.3333	4.9889	3
Y64H9A.2	16.3333	23.0988	3
srlf-15	16.3333	6.549	3
C05C12.6	16.3333	4.714	3
Y51H7C.10	16.3333	10.2089	3
T06E4.5	16.3333	11.6142	3
twk-11	16.3333	22.3954	3
ZC404.16	16.3333	11.6142	3
nhr-136	16.3333	8.34	3
T24H7.8	16.3333	6.65	3
Y105C5A.1268	16.3333	8.0554	3
C30G12.4	16.3333	23.0988	3
Y46G5A.29	16.3333	11.2645	3
C34F11.8	16.3333	11.8977	3
F41G3.18	16.3333	11.1455	3
C43D7.8	16.3333	14.3836	3
F19C6.4	16.3333	11.1455	3
kvs-4	16.3333	6.549	3
nphp-2	16.3333	6.3421	3
sdz-20	16.3333	14.3836	3
nmy-3	16.6667	13.8884	3
des-2	16.6667	12.2565	3
idpp-7	16.6667	5.7349	3
Y113G7A.13	16.6667	12.4722	3
Y48G8AR.2	16.6667	10.3387	3
C45B11.6	16.6667	22.8668	3
fbxb-102	16.6667	9.0308	3
H02F09.3	16.6667	18.8385	3
C50D2.2	16.6667	12.4989	3
dmsr-7	16.6667	9.9778	3
srsx-25	16.6667	21.4838	3
adt-1	16.6667	23.5702	3
che-13	16.6667	15.3261	3
lev-8	16.6667	16.9967	3
mam-4	16.6667	7.5865	3
F01D5.10	16.6667	5.2493	3
C38C6.3	16.6667	18.732	3
C33G8.2	16.6667	11.8134	3
K12H4.6	16.6667	0.4714	3
spig-10	16.6667	18.625	3
nhr-107	16.6667	12.037	3
phlp-2	16.6667	4.4969	3
comt-4	16.6667	10.1434	3
lgc-43	16.6667	18.2087	3
shw-3	16.6667	7.3182	3
E04D5.5	16.6667	4.4969	3
C55C3.7	16.6667	15.8605	3
F46C5.2	16.6667	14.6591	3
grsp-1	16.6667	5.4365	3
T03F6.4	16.6667	14.3836	3
Y69A2AR.25	17.0	8.641	3
Y41E3.22	17.0	20.5102	3
T02E1.8	17.0	15.5778	3
fbxb-6	17.0	12.1929	3
T21C9.9	17.0	21.9545	3
clec-99	17.0	11.225	3
srsx-34	17.0	18.0555	3
ZK402.1	17.0	1.633	3
mlt-2	17.0	14.7648	3
ceh-62	17.0	5.3541	3
Y67D8B.2	17.0	8.4853	3
F26G1.2	17.0	13.5892	3
T12B3.2	17.0	7.7889	3
Y26G10.6	17.0	0.8165	3
pqn-26	17.0	12.5698	3
K08B4.7	17.0	18.4572	3
C07E3.10	17.0	12.1929	3
unc-3	17.0	14.1657	3
try-10	17.0	6.532	3
try-3	17.0	12.8323	3
AC8.10	17.0	11.3137	3
T09F5.1	17.0	23.3381	3
lgc-39	17.0	14.1657	3
C38D9.2	17.0	4.3205	3
ubc-23	17.0	11.431	3
C07H4.1	17.0	13.1403	3
gcy-18	17.0	5.7155	3
C23H4.8	17.0	19.2007	3
cest-8	17.0	13.1403	3
ceh-89	17.0	14.2361	3
phat-1	17.0	21.9545	3
mig-21	17.0	11.431	3
dyla-1	17.0	19.3046	3
F59D6.1	17.0	9.2736	3
W03G1.5	17.0	4.9666	3
F26B1.1	17.0	3.7417	3
tbx-42	17.0	11.3431	3
W10C4.1	17.0	10.7083	3
ccm-2	17.0	5.3541	3
K04G11.3	17.0	12.0277	3
C06E4.3	17.0	6.377	3
C07A4.3	17.0	6.9761	3
F15D4.6	17.0	15.2534	3
snt-3	17.0	14.8549	3
slc-9B.1	17.0	18.4029	3
Y73F8A.5	17.0	21.276	3
Y69A2AR.50	17.0	2.4495	3
nspg-11	17.0	10.4243	3
D1053.3	17.0	12.1929	3
T02B11.8	17.3333	13.2246	3
T22C8.6	17.3333	20.4179	3
clec-197	17.3333	12.3648	3
aakg-3	17.3333	15.5849	3
ugt-15	17.3333	10.873	3
C15H11.11	17.3333	4.714	3
ZC84.1	17.3333	24.513	3
C08F1.11	17.3333	21.746	3
C49H3.12	17.3333	18.2635	3
Y52B11A.4	17.3333	16.8589	3
F18E3.12	17.3333	23.1132	3
hog-1	17.3333	23.1132	3
ceh-5	17.3333	11.8977	3
F55G1.1	17.3333	15.3261	3
C25H3.10	17.3333	4.4969	3
dyf-11	17.3333	17.3269	3
C08B6.11	17.3333	14.7271	3
Y44A6B.3	17.3333	12.9185	3
T11F9.10	17.3333	8.7305	3
abu-12	17.3333	21.746	3
C49H3.16	17.3333	16.8589	3
C06E4.2	17.3333	23.8094	3
C06G3.3	17.3333	6.65	3
F32D8.3	17.3333	17.9134	3
F21D9.4	17.3333	11.1156	3
T04B2.8	17.3333	8.1786	3
idpb-5	17.3333	23.8094	3
sra-35	17.3333	1.6997	3
F53B3.3	17.3333	24.513	3
cht-2	17.3333	9.2856	3
M7.8	17.3333	14.7271	3
Y69H2.15	17.3333	15.3261	3
irk-3	17.3333	7.4087	3
fbxa-26	17.3333	12.4989	3
VY10G11R.1	17.6667	2.4944	3
W09H1.1	17.6667	1.2472	3
M04B2.7	17.6667	7.7603	3
fbxc-23	17.6667	7.4087	3
F32D8.7	17.6667	19.4822	3
K08D8.11	17.6667	7.0396	3
F16F9.1	17.6667	5.3125	3
glt-3	17.6667	10.2089	3
irk-2	17.6667	8.0554	3
F56D2.3	17.6667	21.5458	3
C09H10.4	17.6667	5.4365	3
abf-2	17.6667	5.2493	3
D1014.5	17.6667	23.5844	3
F55D10.4	17.6667	6.2361	3
C14B9.3	17.6667	17.2111	3
F45D11.14	17.6667	20.1384	3
npr-13	17.6667	7.5865	3
nlp-41	17.6667	19.3276	3
C32E8.1	17.6667	9.8093	3
C52E4.12	17.6667	13.1993	3
F32B5.3	17.6667	14.7045	3
C23H5.15	17.6667	23.5844	3
ZK1010.4	17.6667	10.5304	3
F53B6.13	17.6667	7.5425	3
nspg-12	17.6667	12.8149	3
Y54G2A.28	17.6667	13.4743	3
hil-8	17.6667	13.2749	3
F49E10.2	17.6667	24.2808	3
C39F7.1	17.6667	8.9567	3
C49C8.2	17.6667	7.3182	3
F26F2.8	17.6667	11.8977	3
sosi-1	17.6667	12.6579	3
D2092.8	17.6667	21.5458	3
wrt-9	17.6667	24.2808	3
ZK105.3	17.6667	5.5578	3
Y82E9BL.6	17.6667	12.6579	3
unc-7	17.6667	21.4528	3
pals-18	17.6667	10.873	3
D2007.2	18.0	15.5778	3
hlh-25	18.0	14.7648	3
R10E11.5	18.0	18.8326	3
ets-8	18.0	15.1217	3
T25G12.6	18.0	12.9615	3
F09E10.6	18.0	24.0416	3
sknr-1	18.0	13.6382	3
ugt-1	18.0	17.72	3
zip-5	18.0	11.8603	3
clec-104	18.0	8.8318	3
inx-19	18.0	2.1602	3
F59B10.4	18.0	12.8323	3
C54D1.7	18.0	17.0489	3
H03G16.5	18.0	12.0277	3
B0252.1	18.0	12.0277	3
F53G2.1	18.0	22.6421	3
C07B5.8	18.0	12.8323	3
hot-3	18.0	11.431	3
K07G5.5	18.0	14.6969	3
abu-11	18.0	19.0962	3
mks-5	18.0	10.198	3
C25F9.9	18.0	10.9848	3
T11F8.5	18.0	6.377	3
col-131	18.0	25.4558	3
K05F1.10	18.0	11.5181	3
T02G6.11	18.0	12.0277	3
R07B1.9	18.3333	22.4252	3
wee-1.1	18.3333	16.2138	3
T19C3.2	18.3333	23.1132	3
fbxb-19	18.3333	15.4128	3
F58A4.1	18.3333	7.7603	3
C45B2.8	18.3333	15.3261	3
F46C3.7	18.3333	1.2472	3
F45E1.1	18.3333	14.0791	3
sul-1	18.3333	22.4252	3
T26C12.2	18.3333	10.873	3
clec-142	18.3333	16.4992	3
C06C3.7	18.3333	6.3421	3
scd-2	18.3333	16.0069	3
col-115	18.3333	25.2234	3
arl-13	18.3333	4.4969	3
elk-2	18.3333	15.6915	3
T05C1.3	18.3333	25.9272	3
ZC84.6	18.3333	21.8225	3
T06D4.6	18.3333	12.9701	3
lgc-44	18.3333	10.4987	3
mksr-2	18.3333	10.2089	3
sprr-2	18.3333	8.9567	3
H23N18.5	18.3333	25.9272	3
EEED8.18	18.3333	14.7045	3
nlp-7	18.3333	13.2246	3
cutl-29	18.3333	16.7597	3
F21G4.5	18.3333	6.3421	3
drn-1	18.3333	8.2597	3
gnrr-5	18.3333	4.6428	3
fbxa-42	18.3333	9.8432	3
fbxa-31	18.3333	14.0079	3
fbxa-19	18.3333	6.549	3
F28A10.4	18.6667	11.4407	3
F56D5.3	18.6667	17.2498	3
W05B2.2	18.6667	11.8415	3
best-23	18.6667	18.5712	3
nhr-127	18.6667	23.6267	3
arrd-12	18.6667	1.2472	3
unc-24	18.6667	20.806	3
AC8.4	18.6667	10.0775	3
flp-5	18.6667	23.6267	3
K10D6.3	18.6667	12.2837	3
ech-9	18.6667	13.3	3
F20B6.9	18.6667	13.4247	3
snet-1	18.6667	24.3082	3
D2030.12	18.6667	7.9303	3
C17C3.5	18.6667	8.9938	3
fbxa-6	18.6667	13.2246	3
Y75B8A.32	18.6667	10.3387	3
gst-40	18.6667	12.4989	3
acdh-6	18.6667	21.6384	3
F55C9.15	18.6667	16.4384	3
C04E12.4	18.6667	20.3688	3
F53A3.1	18.6667	8.6538	3
clhm-1	18.6667	12.2837	3
mgl-3	18.6667	9.7411	3
ncs-6	18.6667	9.1773	3
K10C9.1	18.6667	10.0775	3
H24K24.2	18.6667	13.8884	3
nspe-7	18.6667	25.6948	3
F41D3.6	18.6667	5.7927	3
ins-2	18.6667	26.3987	3
Y73B3A.20	18.6667	13.5236	3
math-48	18.6667	8.6538	3
fbxa-27	18.6667	13.2246	3
F35H8.2	18.6667	12.2837	3
his-33	18.6667	11.4407	3
sng-1	18.6667	20.9974	3
pdl-1	18.6667	11.3235	3
C41H7.2	19.0	3.266	3
C33C12.12	19.0	5.8878	3
flp-19	19.0	12.1929	3
lron-14	19.0	21.2289	3
C18E9.7	19.0	21.4631	3
F15D3.9	19.0	7.7889	3
F16C3.2	19.0	21.9241	3
twk-17	19.0	14.1657	3
igeg-2	19.0	13.5892	3
acdh-2	19.0	17.1464	3
F40G9.14	19.0	12.7541	3
F07H5.7	19.0	11.5758	3
Y53G8AR.1	19.0	8.9815	3
Y75B7B.2	19.0	2.1602	3
C56G2.9	19.0	14.7196	3
ZK662.2	19.0	19.799	3
nhr-184	19.0	12.6754	3
let-381	19.0	17.9072	3
mam-1	19.0	22.6421	3
sel-7	19.0	24.097	3
zipt-2.2	19.3333	11.8977	3
F41E6.1	19.3333	5.2493	3
K02E7.12	19.3333	8.9567	3
C24A8.6	19.3333	11.6714	3
fbxc-27	19.3333	16.4992	3
T25E12.16	19.3333	2.4944	3
F40F8.4	19.3333	21.9292	3
F27D9.2	19.3333	14.3836	3
Y38H8A.1	19.3333	24.513	3
lagr-1	19.3333	12.2837	3
Y57G7A.11	19.3333	16.2138	3
T05H10.8	19.3333	7.3182	3
M04B2.6	19.3333	14.7045	3
F59B10.5	19.3333	13.9603	3
unc-77	19.3333	13.3	3
famh-161	19.3333	18.9091	3
F44A2.3	19.3333	21.9292	3
D1086.1	19.3333	15.3695	3
K07H8.11	19.3333	10.6249	3
M151.1	19.3333	17.3269	3
bcmo-1	19.3333	14.2673	3
ttr-13	19.3333	11.0855	3
C35D6.3	19.3333	16.2138	3
Y69A2AR.46	19.6667	7.5865	3
flor-1	19.6667	25.7207	3
gpx-4	19.6667	15.195	3
F38B6.6	19.6667	25.0377	3
nlp-35	19.6667	11.5854	3
cfh-1	19.6667	14.0554	3
daf-38	19.6667	8.34	3
cut-1	19.6667	5.3125	3
C45G9.12	19.6667	10.9646	3
bath-13	19.6667	8.8066	3
C01A2.1	19.6667	9.877	3
lury-1	19.6667	11.3235	3
cutl-15	19.6667	19.3448	3
F16B4.2	19.6667	11.1455	3
F08F1.4	19.6667	6.1824	3
his-30	19.6667	15.195	3
F39D8.3	19.6667	10.2089	3
C49C3.11	19.6667	7.0396	3
lon-3	19.6667	16.4181	3
hlh-29	19.6667	15.9652	3
igcm-2	19.6667	27.1088	3
ptr-10	19.6667	22.156	3
col-116	19.6667	7.3182	3
D2085.7	19.6667	13.1233	3
T19H5.6	19.6667	10.873	3
F26F12.2	19.6667	1.2472	3
C10E2.5	19.6667	9.7411	3
dop-2	20.0	6.6833	3
Y13C8A.1	20.0	9.4163	3
C42D4.13	20.0	28.2843	3
tbc-16	20.0	17.9072	3
F54D5.15	20.0	20.3961	3
H14N18.4	20.0	17.4547	3
Y73F8A.32	20.0	0.8165	3
spe-42	20.0	15.2534	3
F35E2.8	20.0	15.9374	3
his-20	20.0	7.4833	3
ZK757.2	20.0	19.799	3
C06A8.8	20.0	21.2289	3
C06C3.4	20.0	24.0555	3
nlp-49	20.0	19.2527	3
Y59H11AR.4	20.0	21.9241	3
srr-4	20.0	28.2843	3
F13H8.5	20.0	26.1916	3
C08F8.15	20.0	18.4572	3
col-73	20.0	13.4412	3
F58B4.3	20.0	14.8549	3
F15D4.4	20.0	9.4163	3
C44C10.7	20.0	19.8158	3
inx-18	20.0	4.2426	3
oac-20	20.0	10.6145	3
F26D2.16	20.0	21.9545	3
F45D11.16	20.0	24.0555	3
pitr-3	20.0	9.0921	3
B0432.14	20.0	8.0416	3
F58D2.5	20.0	17.1464	3
nhr-183	20.0	16.3299	3
K02F6.1	20.0	4.5461	3
K05B2.4	20.0	17.2047	3
nlp-80	20.0	10.7083	3
F40D4.13	20.3333	6.5997	3
M117.3	20.3333	9.6724	3
shc-3	20.3333	12.3648	3
F42G2.5	20.3333	17.632	3
npr-30	20.3333	6.2361	3
Y54G2A.37	20.3333	8.34	3
flp-2	20.3333	17.6131	3
K09B11.4	20.3333	16.3367	3
C32H11.3	20.3333	12.8149	3
Y102A11A.1	20.3333	15.7551	3
T17A3.12	20.3333	23.8933	3
tyr-5	20.3333	3.6818	3
pqn-37	20.3333	20.2704	3
Y62H9A.15	20.3333	7.5865	3
K02A11.2	20.3333	18.5173	3
rdl-1	20.3333	14.0554	3
lpr-7	20.3333	27.3537	3
zig-4	20.3333	28.0515	3
Y43F8B.11	20.3333	21.6846	3
F22E5.1	20.3333	6.5997	3
Y59E9AL.4	20.3333	19.2931	3
fbxb-18	20.3333	17.632	3
Y82E9BL.18	20.3333	14.197	3
fbxa-54	20.3333	14.3836	3
nhr-36	20.3333	17.3077	3
ZC581.9	20.3333	15.3261	3
R04B3.3	20.3333	21.746	3
nhr-234	20.3333	13.0213	3
Y67D8C.6	20.3333	8.5765	3
C27D6.12	20.3333	13.9124	3
C07A4.2	20.3333	25.9786	3
ptr-19	20.3333	18.3545	4
zmp-2	20.3333	16.5395	4
C32B5.18	20.3333	15.0628	4
acr-20	20.3333	3.3993	4
egl-20	20.6667	25.7725	4
ZK669.3	20.6667	13.5236	4
mig-17	20.6667	22.529	4
C53C11.1	20.6667	8.34	4
cyp-13A2	20.6667	23.1565	4
twk-45	20.6667	2.8674	4
cog-1	20.6667	15.6276	4
AH10.2	20.6667	21.914	4
Y43F4A.4	20.6667	19.3964	4
R12E2.8	20.6667	6.8475	4
qui-1	20.6667	17.5942	4
R57.2	20.6667	23.5702	4
Y48G8AL.12	20.6667	17.7826	4
npr-11	20.6667	20.1384	4
avr-14	20.6667	19.3448	4
T12A7.6	20.6667	19.1543	4
try-8	20.6667	11.0855	4
C35D10.12	20.6667	19.1543	4
W04A8.9	20.6667	1.6997	4
F21C10.4	20.6667	15.3261	4
Y39A1A.18	20.6667	4.4969	4
F59B2.8	20.6667	18.5532	4
glb-13	20.6667	20.2375	4
F58D2.3	20.6667	14.6363	4
F31A3.3	21.0	9.4163	4
F53C3.11	21.0	13.6382	4
srlf-34	21.0	9.6264	4
F36H5.10	21.0	19.5107	4
glc-4	21.0	26.2425	4
nas-38	21.0	12.8323	4
Y37H2A.14	21.0	14.8997	4
egl-1	21.0	8.641	4
sdz-11	21.0	14.9889	4
cdc-50.B	21.0	15.5134	4
F58H10.1	21.0	15.748	4
mltn-2	21.0	9.2736	4
C49F8.1	21.0	8.6023	4
col-53	21.0	6.9761	4
R07D5.2	21.0	12.0277	4
ZK863.8	21.0	17.1464	4
K12C11.3	21.0	11.225	4
